%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3892,2,321,1.0,3,303364,0,0,0,0,0,0,168,0.21266413,1.92,2.23,2.02,1,836,Normal
3892,2,321,1.0,6,304135,0,0,0,0,0,0,168,0.21227433,1.85,2.21,2.01,1,836,Normal
3892,2,321,1.0,3,304648,0,0,0,0,0,0,168,0.21227433,1.72,2.17,2.0,1,836,Normal
3920,2,320,1.0,8,305588,1,81,0,0,0,0,167,0.21203254,1.61,2.13,1.99,1,836,Normal
3920,2,320,1.0,8,306679,5,682,0,0,0,0,169,0.21449965,2.04,2.21,2.02,1,835,Normal
3920,2,320,1.0,4,307278,0,0,0,0,0,0,169,0.21453913,1.88,2.17,2.0,1,835,Normal
3920,2,320,1.0,5,307963,0,0,0,0,0,0,169,0.21448977,1.98,2.18,2.01,1,835,Normal
3920,2,320,1.0,3,308476,0,0,0,0,0,0,169,0.21437629,2.05,2.19,2.02,1,835,Normal
3920,2,320,1.0,6,309247,0,0,0,0,0,0,169,0.21446018,2.33,2.25,2.04,1,837,Normal
3921,2,320,1.0,3,309760,0,0,0,0,0,0,169,0.21415919,2.42,2.27,2.05,1,837,Normal
3921,2,320,1.0,11,311119,5,1163,0,0,0,0,169,0.21386807,2.6,2.32,2.06,1,837,Normal
3921,2,320,1.0,3,311632,0,0,0,0,0,0,169,0.2138138,2.43,2.29,2.06,1,837,Normal
3921,2,320,1.0,6,312403,0,0,0,0,0,0,169,0.21377432,2.21,2.25,2.04,1,837,Normal
3921,2,320,1.0,3,312916,0,0,0,0,0,0,169,0.21359669,2.33,2.27,2.05,1,837,Normal
3921,2,320,1.0,6,313687,0,0,0,0,0,0,168,0.21339439,2.21,2.25,2.05,1,837,Normal
3923,2,320,1.0,3,314200,0,0,0,0,0,0,168,0.21338452,2.02,2.2,2.04,1,834,Normal
3923,2,320,1.0,9,315377,5,682,0,0,0,0,168,0.21300952,1.87,2.17,2.03,1,834,Normal
3923,2,320,1.0,5,316062,0,0,0,0,0,0,168,0.2125309,1.81,2.14,2.02,1,834,Normal
3923,2,320,1.0,242,337253,298,330165,0,0,0,0,169,0.21355228,1.76,2.12,2.02,1,834,Normal
3923,2,320,1.0,57,344930,44,56251,0,0,0,0,168,0.21323156,1.64,2.08,2.0,1,837,Normal
3923,2,320,1.0,1197,436322,1869,2655532,0,0,0,0,166,0.20969373,1.54,2.05,1.99,1,839,Normal
3924,2,320,1.0,97,447985,79,69344,0,0,0,0,164,0.20816907,1.84,2.1,2.01,1,835,Normal
3924,2,320,1.0,8,449086,5,1163,0,0,0,0,165,0.20936808,1.71,2.06,2.0,1,835,Normal
3924,2,320,1.0,6,449857,0,0,0,0,0,0,165,0.20929407,1.6,2.03,1.99,1,835,Normal
3924,2,320,1.0,3,450370,0,0,0,0,0,0,165,0.20919538,1.51,1.99,1.98,1,835,Normal
3924,2,320,1.0,6,451141,0,0,0,0,0,0,165,0.20897333,1.58,1.99,1.98,1,835,Normal
3924,2,320,1.0,3,451654,0,0,0,0,0,0,166,0.2099207,1.49,1.96,1.97,1,836,Normal
3929,2,320,1.0,6,452422,2,375,0,0,0,0,166,0.20972827,1.41,1.93,1.96,1,836,Normal
3929,2,320,1.0,9,453615,4,630,0,0,0,0,165,0.20955065,1.35,1.9,1.95,1,836,Normal
3929,2,320,1.0,3,454128,0,0,0,0,0,0,166,0.20991577,1.54,1.92,1.95,1,836,Normal
3929,2,320,1.0,6,454899,0,0,0,0,0,0,165,0.2096296,1.49,1.9,1.95,1,836,Normal
3929,2,320,1.0,3,455412,0,0,0,0,0,0,165,0.20961478,2.11,2.02,1.99,1,836,Normal
3929,2,320,1.0,6,456183,0,0,0,0,0,0,165,0.20951611,2.24,2.05,2.0,1,836,Normal
3923,2,320,1.0,3,456696,6,1764,0,0,0,0,165,0.20901775,2.42,2.1,2.01,1,836,Normal
3923,2,320,1.0,11,458055,5,1163,0,0,0,0,165,0.20879571,2.59,2.15,2.03,1,836,Normal
3923,2,320,1.0,3,458568,0,0,0,0,0,0,165,0.20861314,2.71,2.19,2.04,1,837,Normal
3923,2,320,1.0,11,459647,5,246,0,0,0,0,147,0.18626614,2.84,2.23,2.06,1,837,Normal
3923,2,320,1.0,61,470493,44,21192,0,0,0,0,166,0.21076445,3.72,2.44,2.13,4,849,Normal
3923,2,320,1.0,14,473007,8,505,0,0,0,0,173,0.218822,3.91,2.52,2.16,2,848,Normal
