%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
4187,2,370,1.0,15,226990,12,1056,0,0,0,0,141,0.17860332,3.11,3.45,4.84,1,904,Infected
4187,2,370,1.0,3,227503,0,0,0,0,0,0,141,0.17895365,3.0,3.42,4.81,1,904,Infected
4187,2,370,1.0,3,228016,0,0,0,0,0,0,141,0.17869215,2.78,3.36,4.78,1,902,Infected
4187,2,370,1.0,3,228529,0,0,0,0,0,0,141,0.17843063,2.5,3.28,4.74,1,898,Infected
4187,2,370,1.0,3,229042,0,0,0,0,0,0,140,0.17689116,2.43,3.24,4.71,1,898,Infected
4187,2,370,1.0,3,229555,0,0,0,0,0,0,140,0.17791747,2.37,3.2,4.68,1,899,Infected
4197,2,362,1.0,3,230068,0,0,0,0,0,0,140,0.17721188,2.16,3.13,4.64,1,899,Infected
4197,2,362,1.0,3,230581,0,0,0,0,0,0,140,0.1770984,1.98,3.06,4.6,1,900,Infected
4197,2,362,1.0,3,231094,0,0,0,0,0,0,140,0.1777645,1.83,2.99,4.56,1,900,Infected
4197,2,362,1.0,3,231607,0,0,0,0,0,0,141,0.17854905,1.78,2.94,4.53,1,899,Infected
4197,2,362,1.0,3,232120,0,0,0,0,0,0,140,0.17706385,1.73,2.89,4.5,1,899,Infected
4197,2,362,1.0,3,232633,0,0,0,0,0,0,141,0.17826779,1.62,2.83,4.46,1,899,Infected
4199,2,357,1.0,15,234226,12,1200,0,0,0,0,141,0.17844543,1.61,2.79,4.43,1,899,Infected
4199,2,357,1.0,4,234785,1,28,0,0,0,0,141,0.1793484,1.74,2.78,4.41,1,898,Infected
4199,2,357,1.0,15,236258,12,1080,0,0,0,0,142,0.17941746,1.7,2.74,4.37,2,899,Infected
4199,2,357,1.0,3,236771,0,0,0,0,0,0,141,0.17893885,1.59,2.68,4.34,1,899,Infected
4199,2,357,1.0,3,237284,0,0,0,0,0,0,140,0.177577,1.5,2.62,4.3,1,899,Infected
4199,2,357,1.0,3,237797,0,0,0,0,0,0,141,0.1787711,1.42,2.57,4.27,1,899,Infected
4183,2,353,1.0,3,238310,76,30984,0,0,0,0,141,0.17861813,1.36,2.52,4.23,1,899,Infected
4183,2,353,1.0,3,238823,0,0,0,0,0,0,141,0.1782826,1.3,2.47,4.2,1,899,Infected
4183,2,353,1.0,3,239336,0,0,0,0,0,0,140,0.17806056,1.26,2.42,4.16,1,899,Infected
4183,2,353,1.0,3,239849,0,0,0,0,0,0,140,0.1779076,1.46,2.42,4.15,1,900,Infected
4183,2,353,1.0,3,240362,0,0,0,0,0,0,139,0.17643721,1.39,2.38,4.11,1,900,Infected
4183,2,353,1.0,3,240875,0,0,0,0,0,0,140,0.17750794,1.41,2.35,4.08,1,900,Infected
4165,2,350,1.0,3,241388,0,0,0,0,0,0,140,0.17744872,1.42,2.32,4.06,1,900,Infected
