%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3835,260,0.55,7,130625,0,0,0,0,0,0,319,0.40325755,12.29,12.37,6.35,17,1083,Normal
3835,260,0.55,10,131748,0,0,0,0,0,0,319,0.40311942,10.56,11.99,6.3,22,1082,Normal
3843,257,0.54,10,132609,0,0,0,0,0,0,319,0.40298617,9.16,11.65,6.24,17,1082,Normal
3843,257,0.54,8,133398,0,0,0,0,0,0,318,0.40283814,8.59,11.49,6.22,364,1083,Normal
3843,257,0.54,0,133398,0,0,0,0,0,0,318,0.4027444,8.06,11.33,6.2,55,1083,Normal
3843,257,0.54,2,133490,1,60,0,0,0,0,318,0.40245822,8.06,11.33,6.2,180,1083,Normal
3843,257,0.54,0,133490,0,0,0,0,0,0,318,0.4024385,8.06,11.33,6.2,251,1083,Normal
3843,257,0.54,0,133490,0,0,0,0,0,0,318,0.40234473,8.06,11.33,6.2,364,1083,Normal
3843,257,0.54,7,134142,0,0,0,0,0,0,315,0.3984467,7.49,11.16,6.17,358,1092,Normal
3843,257,0.54,5,134537,0,0,0,0,0,0,315,0.3988908,6.97,10.99,6.14,16,1093,Normal
3843,257,0.54,2,134754,0,0,0,0,0,0,315,0.3982,6.97,10.99,6.14,1,1097,Normal
3843,257,0.54,1,134754,0,0,0,0,0,0,315,0.39812598,6.97,10.99,6.14,2,1097,Normal
3843,257,0.54,6,135701,1,60,0,0,0,0,315,0.39854047,24.91,14.64,7.35,19,1093,Normal
3843,257,0.54,5,136306,2,120,0,0,0,0,315,0.39834803,24.91,14.64,7.35,3,1092,Normal
3843,257,0.54,2,136422,4,564,0,0,0,0,317,0.4007806,21.32,14.21,7.29,1,1085,Normal
3843,257,0.54,0,136422,0,0,0,0,0,0,317,0.40078554,18.27,13.79,7.23,2,1085,Normal
3843,257,0.54,0,136422,14,1440,0,0,0,0,317,0.40164408,15.62,13.37,7.16,2,1085,Normal
3844,252,0.54,0,136422,24,8380,0,0,0,0,317,0.40155032,13.85,13.06,7.13,1,1085,Normal
3844,252,0.54,0,136422,9,564,0,0,0,0,317,0.4014615,11.87,12.67,7.06,1,1085,Normal
3844,252,0.54,21,138370,43,13902,0,0,0,0,316,0.39925593,10.28,12.3,7.0,16,1095,Normal
3844,252,0.54,15,139623,21,1260,0,0,0,0,315,0.39911777,8.85,11.93,6.94,16,1094,Normal
3844,252,0.54,34,143090,61,9688,0,0,0,0,315,0.39888093,7.64,11.57,6.87,16,1094,Normal
3844,252,0.54,20,146211,6,701,0,0,0,0,315,0.3984418,6.62,11.22,6.81,20,1094,Normal
3832,251,0.54,9,147242,27,9668,0,0,0,0,314,0.3972921,5.83,10.9,6.75,1,1092,Normal
3832,251,0.54,1,147300,0,0,0,0,0,0,315,0.398274,5.09,10.57,6.69,1,1083,Normal
3832,251,0.54,0,147300,22,8652,0,0,0,0,316,0.39936447,4.46,10.26,6.63,1,1083,Normal
3832,251,0.54,0,147300,0,0,0,0,0,0,316,0.39932007,3.93,9.95,6.57,2,1083,Normal
3832,251,0.54,0,147300,9,3300,0,0,0,0,315,0.39905363,3.48,9.66,6.51,1,1083,Normal
3832,251,0.54,0,147300,0,0,0,0,0,0,315,0.39891052,3.1,9.37,6.45,1,1083,Normal
3842,251,0.54,0,147300,7,2020,0,0,0,0,315,0.39871317,2.77,9.1,6.39,1,1082,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,315,0.3986194,2.77,9.1,6.39,330,1083,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,315,0.39859968,2.77,9.1,6.39,273,1083,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,315,0.39819506,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39772633,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39774606,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3969023,2.77,9.1,6.39,2,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3969171,2.77,9.1,6.39,2,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3977411,2.77,9.1,6.39,37,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3974056,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39774606,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3976671,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39712927,2.77,9.1,6.39,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39710462,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3969566,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39698127,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3969862,2.79,9.0,6.37,2,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39712435,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39646316,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39650756,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3964829,2.79,9.0,6.37,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.396251,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39660132,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3964681,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39637434,3.53,9.05,6.4,2,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39589572,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39572304,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39579213,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3955602,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39566383,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39555526,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3956441,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39554048,3.53,9.05,6.4,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39617205,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39555034,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39563915,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39601907,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3956046,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39641383,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39737105,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39739078,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.39739078,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39659145,3.41,8.93,6.38,1,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.39645824,3.41,8.93,6.38,4,1087,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,314,0.3968875,3.45,8.85,6.37,319,1084,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3965569,3.45,8.85,6.37,1,1088,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,313,0.3963793,3.45,8.85,6.37,3,1089,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,312,0.3943217,3.45,8.85,6.37,1,1097,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,311,0.39355692,3.45,8.85,6.37,2,1096,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,310,0.39274278,3.45,8.85,6.37,1,1099,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,310,0.39272302,3.45,8.85,6.37,1,1099,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,311,0.39319178,3.45,8.85,6.37,1,1098,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,311,0.3928908,3.45,8.85,6.37,1,1098,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,311,0.39284146,3.45,8.85,6.37,1,1098,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,311,0.39328554,3.45,8.85,6.37,1,1098,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,310,0.39261448,3.34,8.73,6.35,1,1098,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,309,0.39113915,3.34,8.73,6.35,1,1107,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,309,0.3905224,3.34,8.73,6.35,1,1109,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,306,0.386728,3.34,8.73,6.35,3,1109,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,306,0.38680694,3.34,8.73,6.35,2,1109,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,306,0.38654047,3.34,8.73,6.35,1,1109,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,305,0.38631845,3.34,8.73,6.35,1,1109,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,306,0.38656023,3.34,8.73,6.35,1,1109,Normal
3842,251,0.54,0,147300,0,0,0,0,0,0,305,0.38637766,3.34,8.73,6.35,1,1109,Normal
