%Data collected from Uninfected Android phone on 03/20/15 this data set is not included in training3

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}

@DATA
3686,298,0.3,0,18221,0,0,0,0,0,0,259,0.32800603,2.49,2.65,2.27,224,802,Normal
3686,298,0.3,2,18361,2,141,0,0,0,0,260,0.32897314,2.37,2.62,2.27,1,802,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,260,0.3288794,2.37,2.62,2.27,219,803,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,259,0.32768038,2.37,2.62,2.27,1,810,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,259,0.3272955,2.37,2.62,2.27,1,811,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,259,0.32740405,2.37,2.62,2.27,2,813,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,258,0.3271228,2.37,2.62,2.27,1,813,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,258,0.32673302,2.37,2.62,2.27,1,813,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,258,0.32673302,2.37,2.62,2.27,1,815,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,258,0.32633334,2.37,2.62,2.27,1,816,Normal
3686,298,0.3,0,18361,0,0,0,0,0,0,258,0.32672808,2.37,2.62,2.27,1,816,Normal
3686,298,0.3,1,18431,1,52,0,0,0,0,258,0.32686624,2.26,2.59,2.26,204,813,Normal
3686,298,0.3,0,18431,0,0,0,0,0,0,258,0.3267478,2.26,2.59,2.26,172,814,Normal
3686,298,0.3,0,18431,0,0,0,0,0,0,258,0.32671326,2.26,2.59,2.26,229,814,Normal
3686,298,0.3,0,18431,0,0,0,0,0,0,258,0.32660472,2.26,2.59,2.26,228,814,Normal
3686,298,0.3,0,18431,0,0,0,0,0,0,258,0.32657018,2.26,2.59,2.26,222,815,Normal
3686,298,0.3,0,18431,0,0,0,0,0,0,258,0.32648137,2.26,2.59,2.26,228,815,Normal
3686,298,0.3,4,18777,3,214,0,0,0,0,258,0.32607183,2.26,2.59,2.26,4,820,Normal
3686,298,0.3,0,18777,1,64,0,0,0,0,257,0.32588926,2.16,2.57,2.25,220,820,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,258,0.32598302,2.16,2.57,2.25,218,819,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,257,0.3255883,2.16,2.57,2.25,1,824,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,257,0.32496658,2.16,2.57,2.25,1,825,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,257,0.32532182,2.16,2.57,2.25,1,825,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,257,0.32537612,2.16,2.57,2.25,1,825,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,257,0.32471493,2.16,2.57,2.25,1,825,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,256,0.32462612,2.16,2.57,2.25,1,825,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,256,0.32450277,2.16,2.57,2.25,1,824,Normal
3686,298,0.3,0,18777,0,0,0,0,0,0,256,0.32442382,2.16,2.57,2.25,1,825,Normal
3702,258,0.3,5,19265,88,29840,0,0,0,0,252,0.31930703,2.47,2.63,2.27,6,830,Normal
3702,258,0.3,88,29210,173,100910,0,0,0,0,259,0.32798138,2.4,2.6,2.27,3,832,Normal
3702,258,0.3,34,32115,35,5008,0,0,0,0,262,0.33162776,2.25,2.57,2.26,2,832,Normal
3702,258,0.3,51,36507,37,4912,0,0,0,0,236,0.29819357,2.14,2.53,2.25,1,899,Normal
3702,258,0.3,23,38373,17,1935,0,0,0,0,235,0.29721662,2.28,2.55,2.26,2,899,Normal
3702,258,0.3,8,39508,8,488,0,0,0,0,234,0.29679722,2.08,2.5,2.25,3,899,Normal
3606,271,0.3,10,40338,8,508,0,0,0,0,233,0.29510972,2.13,2.5,2.25,1,899,Normal
